frac_nodes_in_GCC,efficiency,avg_shortest_path,fraction_removed,num_removed
0.9846650147271963,0.021772841349403972,70.07827820801087,0.0,0
0.819242125984252,0.020097300631167443,102.7973277204952,0.05,1069
0.6214545454545455,0.020667562797949218,115.01116400883275,0.1,2139
0.5707606842307904,0.021386909325555398,119.79593853813047,0.15000000000000002,3208
0.4873473204371457,0.022567127274503485,118.6559054447192,0.2,4278
0.37545193866101484,0.026794486421451654,104.44890252846241,0.25,5347
0.35299225220411434,0.027861083544893615,108.5520961126019,0.30000000000000004,6417
0.32618859239013165,0.029287314179788644,110.7975219392614,0.35000000000000003,7486
0.29696875243512816,0.0313730561400383,102.611648287276,0.4,8556
0.2786467188031282,0.03343321814212343,100.25956727828836,0.45,9625
0.24310425432445068,0.036002586084860976,92.02778122894115,0.5,10694
0.13922077922077922,0.03963062835125624,117.35051333262167,0.55,11764
0.015544647031323048,0.11150708321887709,96.63485360777321,0.6000000000000001,12833
0.012022441891530858,0.16458773508914695,51.04394628148148,0.65,13903
0.0024933769674302633,0.31743053243053276,13.333427909166666,0.7000000000000001,14972
0.002618290630259959,0.3463942040865122,18.169445582417584,0.75,16042
0.0032725572697522207,0.3463942040865122,18.169445582417584,0.8,17111
0.004364089775561097,0.3463942040865122,18.169445582417584,0.8500000000000001,18181
0.0065451145395044414,0.3463942040865122,18.169445582417584,0.9,19250
0.01216089803554724,0.36335562585562625,18.627982820512823,0.9500000000000001,20320
0.0,0.0,,1.0,21389
