frac_nodes_in_GCC,efficiency,avg_shortest_path,fraction_removed,num_removed
0.9846650147271963,0.021772841349403972,70.07827820801087,0.0,0
0.9696358267716535,0.014315690976768533,149.56127718835094,0.05,1069
0.9475324675324676,0.01140068188064228,226.5046941108329,0.1,2139
0.6508442879929597,0.01016914252117354,313.6575575720786,0.15000000000000002,3208
0.151773712816317,0.025740795082794893,113.33927579539173,0.2,4278
0.1254831068445331,0.027950476120062545,143.73257175377893,0.25,5347
0.09584557841303767,0.03282404565603338,123.49908537725446,0.30000000000000004,6417
0.060778249298712506,0.04058745298035077,104.36287383174971,0.35000000000000003,7486
0.0372477207200187,0.06974865003540381,78.47340227779567,0.4,8556
0.033321999319959196,0.07023922337886879,98.08801602136842,0.45,9625
0.02374941561477326,0.08535315605779177,89.6997475681564,0.5,10694
0.024,0.09044425018676096,87.78132938889013,0.55,11764
0.019401589527816735,0.10904505546755154,65.91935450707071,0.6000000000000001,12833
0.012690355329949238,0.12756534194807423,85.53671340213512,0.65,13903
0.010129343930185445,0.1646453207210918,73.1840243711859,0.7000000000000001,14972
0.005797643538432766,0.25186968523780656,31.528032081003587,0.75,16042
0.0065451145395044414,0.25492785908285426,33.13103513800706,0.8,17111
0.007169576059850374,0.2717280742972443,34.06961176679842,0.8500000000000001,18181
0.005142589995324918,0.4226839826839829,4.933359763636363,0.9,19250
0.0037418147801683817,0.7222222222222222,5.777379,0.9500000000000001,20320
0.0,0.0,,1.0,21389
