node_id,degree,betweenness,eigenvector
10000046,0.00028053113895642415,0.00018403703184177305,0.33886828775608746
15860,0.0002337759491303535,0.00018403703184177305,0.3345624163864652
15861,0.0001870207593042828,0.0002300462898022163,0.3145064478156171
16588,0.00028053113895642415,0.00013802777388132977,0.311282611368563
10000045,0.00028053113895642415,4.600925796044326e-05,0.3058637161578183
20982,0.0001870207593042828,0.00013802777388132977,0.29562160876095644
10000047,0.00028053113895642415,0.0,0.264028067649865
19489,0.00028053113895642415,4.600925796044326e-05,0.25321115299847285
13790,0.00028053113895642415,0.00013802777388132977,0.25309552798826407
19490,0.0001870207593042828,0.0,0.2520607041447027
16589,0.0002337759491303535,9.201851592088652e-05,0.18140661680193385
10000004,0.00028053113895642415,0.0,0.14817983045659205
17441,0.00014026556947821208,0.0,0.1291287529190491
18711,0.00028053113895642415,0.00013802777388132977,0.12854739663953013
18713,0.00028053113895642415,9.201851592088652e-05,0.12513042484846254
19469,0.0001870207593042828,4.600925796044326e-05,0.11072121238367524
10000044,0.00028053113895642415,9.201851592088652e-05,0.05696607098784314
11948,0.0002337759491303535,0.0009141067003319773,0.05614746502990557
21019,0.00014026556947821208,0.00013662505260204796,0.052961135964988436
9226,0.00014026556947821208,4.600925796044326e-05,0.052717452280774325
10000010,0.00028053113895642415,0.0,0.029132079671993515
14693,0.00028053113895642415,0.00034001963809790996,0.02682628974485554
14695,0.0001870207593042828,0.0003746200963201945,0.026651418009340618
14697,0.0001870207593042828,0.0004628980221629962,0.026534000149058573
10000313,0.00028053113895642415,0.0,0.021499748866965103
18575,0.0001870207593042828,0.00013802777388132977,0.019616964096916063
18576,0.0002337759491303535,9.201851592088652e-05,0.01946503617381735
19689,0.0002337759491303535,0.0,0.019440500012338817
10000007,0.00028053113895642415,0.0,0.015651125792747685
20623,0.00028053113895642415,0.0,0.014924482989506365
18712,0.00028053113895642415,0.00018403703184177305,0.013895011266034252
20624,0.0002337759491303535,9.201851592088652e-05,0.012580653380927061
20625,0.0002337759491303535,0.0,0.012499502597350326
16207,0.0001870207593042828,4.600925796044326e-05,0.010871225385112478
10000040,0.00028053113895642415,0.0,0.01081098361209292
12429,0.0003740415186085656,0.00038715107308177866,0.009999919862740484
