frac_nodes_in_GCC,efficiency,avg_shortest_path,fraction_removed,num_removed
0.9846650147271963,0.021772841349403972,70.07827820801087,0.0,0
0.9659448818897638,0.019368266905792915,94.57849931123462,0.05,1069
0.9203116883116883,0.016704760914129455,129.38304249351972,0.1,2139
0.7854353445905066,0.015292473670919267,170.5174442601514,0.15000000000000002,3208
0.3900414937759336,0.018066172224720338,183.23336352405386,0.2,4278
0.12436105223787558,0.03003816961149515,105.8260834749927,0.25,5347
0.050026716537536736,0.05161437533015283,69.58207751753844,0.30000000000000004,6417
0.024239372797238007,0.07471797922324686,64.69603303363832,0.35000000000000003,7486
0.013558793734902205,0.102040337776987,66.94077143579165,0.4,8556
0.008925535532131927,0.13275071646445225,56.72057975059829,0.45,9625
0.0034595605423094903,0.23600261933595187,28.40984451051051,0.5,10694
0.003220779220779221,0.25650987391974056,4.473064821935484,0.55,11764
0.0024544179523141654,0.3259850202707344,4.019686837936509,0.6000000000000001,12833
0.0017365749398877905,0.39373219373219404,2.3302745692307694,0.65,13903
0.001714196665108306,0.45034632034632066,5.349642505454545,0.7000000000000001,14972
0.0018702075930428278,0.46449735449735474,5.548965053333333,0.75,16042
0.0018700327255726976,0.5345238095238094,4.6497579714285715,0.8,17111
0.0018703241895261845,0.5800000000000001,22.63297306666667,0.8500000000000001,18181
0.0023375409069658717,0.7333333333333334,1.0639688,0.9,19250
0.002806361085126286,0.8333333333333334,10.180314222222224,0.9500000000000001,20320
0.0,0.0,,1.0,21389
